true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,std_x,std_y
19.2,1.885,1.576,0.549,8.717,10.789,1.158,1.002
19.3,1.868,1.632,0.486,9.082,10.932,1.174,0.993
19.4,1.876,1.573,0.545,8.676,10.857,1.224,0.966
19.5,1.99,1.533,0.637,9.106,11.015,1.131,1.077
18.4,1.866,1.495,0.598,8.327,10.498,1.212,0.998
19.6,1.857,1.666,0.442,9.048,10.93,1.155,1.067
19.7,1.903,1.709,0.44,9.32,11.12,1.258,1.009
19.8,1.883,1.669,0.462,8.874,10.93,1.121,1.046
20.0,1.871,1.603,0.515,8.969,10.902,1.215,0.915
20.1,1.92,1.622,0.535,8.968,10.937,1.234,1.03
19.9,2.005,1.567,0.624,9.198,11.106,1.291,0.991
20.3,1.912,1.571,0.57,8.666,10.784,1.292,0.979
20.2,1.957,1.598,0.577,8.908,10.931,1.159,1.053
20.5,2.014,1.607,0.603,9.357,11.223,1.231,1.018
20.7,1.894,1.647,0.494,9.211,11.046,1.25,1.035
20.8,1.997,1.682,0.539,9.495,11.297,1.177,1.141
21.0,1.902,1.646,0.501,8.98,11.011,1.225,1.049
21.3,2.007,1.669,0.555,9.714,11.364,1.234,1.105
21.2,2.111,1.675,0.609,10.437,11.793,1.278,1.056
20.9,2.033,1.578,0.631,9.452,11.274,1.284,1.062
20.6,1.952,1.646,0.538,9.422,11.211,1.222,1.002
21.4,2.061,1.702,0.564,10.026,11.616,1.177,1.084
21.5,2.037,1.653,0.584,10.09,11.543,1.231,1.029
21.7,2.09,1.624,0.63,9.754,11.468,1.196,1.138
21.8,2.217,1.567,0.707,9.688,11.649,1.414,0.977
21.6,2.076,1.713,0.565,10.318,11.753,1.228,1.038
20.4,1.986,1.574,0.61,9.061,10.999,1.229,1.005
22.0,2.052,1.733,0.535,10.416,11.763,1.271,1.109
21.9,2.153,1.789,0.556,10.321,11.972,1.33,1.045
21.1,2.053,1.627,0.61,9.823,11.455,1.218,1.004
22.2,2.209,1.608,0.686,10.443,11.936,1.433,0.977
22.1,2.087,1.524,0.683,8.597,11.056,1.239,0.951
22.3,2.17,1.683,0.631,10.103,11.838,1.371,0.948
22.4,2.199,1.732,0.616,10.355,11.847,1.115,1.137
22.8,2.136,1.703,0.604,10.644,11.954,1.313,1.078
22.9,2.192,1.713,0.624,11.048,12.127,1.303,1.076
23.3,2.335,1.748,0.663,11.741,12.68,1.364,1.047
23.0,2.201,1.679,0.646,10.816,12.104,1.466,1.059
22.6,2.256,1.696,0.659,10.874,12.123,1.113,1.075
23.1,2.179,1.691,0.631,10.958,12.16,1.419,1.071
23.6,2.259,1.719,0.649,11.23,12.318,1.199,1.038
22.7,2.177,1.659,0.648,10.224,11.917,1.326,1.057
23.2,2.262,1.713,0.653,11.106,12.356,1.321,1.087
23.8,2.357,1.763,0.664,12.253,12.889,1.434,1.011
23.5,2.201,1.668,0.653,10.912,12.071,1.472,1.036
23.7,3.003,2.027,0.738,14.463,15.084,1.363,1.185
23.9,2.284,1.691,0.672,11.173,12.389,1.366,1.128
24.0,2.365,1.676,0.706,11.392,12.529,1.318,1.122
23.4,2.261,1.757,0.63,11.186,12.409,1.6,0.987
24.1,2.399,1.588,0.75,11.03,12.46,1.249,1.12
24.3,2.504,1.704,0.733,12.167,12.986,1.444,1.173
22.5,2.028,1.681,0.559,10.127,11.631,1.177,1.165
24.5,2.423,1.822,0.659,13.012,13.195,1.534,1.102
24.7,2.404,1.765,0.679,12.111,12.898,1.372,1.192
24.2,4.282,2.608,0.793,22.802,18.827,1.551,1.322
24.4,3.747,1.948,0.854,16.418,17.128,1.712,1.114
25.3,2.63,1.8,0.729,13.282,13.739,1.663,0.988
25.2,2.521,1.729,0.728,12.486,13.254,1.631,1.13
25.0,2.476,1.786,0.693,12.372,13.132,1.54,1.055
25.1,2.529,1.734,0.728,12.09,13.246,1.408,1.055
24.6,3.085,1.702,0.834,15.362,15.232,1.69,1.02
25.4,2.588,1.76,0.733,13.347,13.654,1.556,1.158
25.6,2.722,1.815,0.745,13.951,14.061,1.773,1.067
24.9,2.536,1.724,0.733,12.916,13.336,1.658,1.075
24.8,2.357,1.827,0.632,12.719,12.992,1.398,1.129
26.0,2.821,1.824,0.763,14.632,14.531,1.831,1.095
25.7,2.74,1.833,0.743,14.95,14.394,1.66,1.187
25.9,2.716,1.775,0.757,14.037,14.098,1.63,1.108
25.5,2.829,1.706,0.798,13.483,13.9,1.63,1.093
26.1,3.056,1.88,0.788,12.177,13.914,1.587,1.081
26.2,2.684,1.837,0.729,14.874,14.338,1.66,1.165
26.3,2.739,1.881,0.727,15.016,14.413,1.692,1.261
26.4,2.768,1.927,0.718,15.628,14.685,1.859,1.212
26.5,2.755,1.928,0.714,15.758,14.613,1.648,1.217
26.8,3.009,1.929,0.767,17.393,15.557,1.996,1.135
26.9,2.738,1.934,0.708,15.569,14.587,1.678,1.225
27.2,3.001,1.94,0.763,17.401,15.556,1.897,1.165
27.4,3.228,1.89,0.811,17.823,16.246,2.142,1.101
26.7,2.983,1.873,0.778,16.373,15.284,1.85,1.137
27.7,3.393,1.902,0.828,18.707,16.656,2.063,1.194
27.3,3.121,1.781,0.821,16.381,15.399,1.861,1.139
27.6,3.296,1.874,0.823,16.608,16.102,1.798,1.167
25.8,2.703,1.788,0.75,13.61,13.772,1.537,1.121
27.8,3.314,1.943,0.81,18.233,16.507,1.896,1.241
27.5,3.016,1.948,0.763,16.979,15.514,1.7,1.142
27.9,3.572,1.727,0.875,17.048,16.726,2.053,1.219
26.6,2.938,1.802,0.79,15.492,14.979,1.857,1.188
28.1,3.086,1.966,0.771,18.143,15.975,1.862,1.223
28.0,3.383,1.945,0.818,18.899,16.927,2.039,1.203
27.1,2.99,1.91,0.769,16.556,15.305,1.712,1.265
28.2,3.445,1.976,0.819,19.941,17.204,2.2,1.232
28.3,3.214,1.99,0.785,17.289,15.797,1.658,1.186
28.4,3.467,1.991,0.819,20.712,17.317,2.021,1.223
28.6,3.448,2.095,0.794,20.738,17.265,2.117,1.225
27.0,3.057,1.932,0.775,15.809,15.438,1.738,1.156
