true_angle,convex_hull_area,convex_hull_perimeter,mean_distance,std_distance,max_distance,point_density,aspect_ratio,circularity
0.2,1112.051,124.464,12.631,6.034,23.558,0.043,0.868,0.902
0.2,988.195,117.596,10.058,5.977,23.251,0.065,1.153,0.898
0.2,1189.86,126.977,12.313,6.636,24.117,0.047,0.901,0.927
0.2,1044.47,118.832,11.099,6.197,22.198,0.046,0.96,0.929
0.2,1193.476,127.821,11.535,6.95,22.778,0.054,0.917,0.918
0.2,1160.787,125.933,11.68,6.804,22.31,0.044,1.044,0.92
0.2,1131.072,123.762,11.434,6.822,22.525,0.05,1.192,0.928
0.2,1193.913,127.972,12.942,5.955,22.937,0.049,0.924,0.916
0.2,985.739,116.592,10.856,6.369,23.04,0.058,0.904,0.911
0.2,1038.133,119.757,11.073,6.194,21.847,0.057,0.946,0.91
0.2,2659.778,214.281,23.73,10.736,51.993,0.028,0.572,0.728
0.2,1216.432,128.093,12.774,6.603,22.008,0.048,0.916,0.932
0.2,1038.946,119.107,10.47,5.845,21.032,0.052,1.095,0.92
0.2,1152.452,124.314,12.16,6.278,21.678,0.049,0.95,0.937
0.2,1045.728,119.281,12.151,5.596,22.642,0.053,0.997,0.924
0.2,1178.73,126.614,12.659,5.657,23.341,0.051,1.153,0.924
0.2,1007.456,119.636,11.553,5.442,22.598,0.052,1.098,0.885
0.2,1051.594,123.184,10.051,6.028,22.315,0.052,0.927,0.871
0.2,1022.435,121.442,11.154,5.517,23.947,0.056,1.258,0.871
0.2,1077.959,120.165,11.721,6.066,22.779,0.045,0.873,0.938
0.2,1135.38,126.215,12.776,5.755,25.848,0.046,1.258,0.896
0.2,1300.387,131.139,11.643,6.96,22.875,0.051,0.959,0.95
0.2,992.003,116.308,11.02,6.436,21.582,0.047,1.218,0.922
0.2,1240.148,128.521,13.311,6.498,22.178,0.054,1.094,0.943
0.2,1072.44,120.594,11.414,5.97,21.909,0.052,1.092,0.927
0.2,1099.481,123.342,11.835,6.405,21.585,0.047,0.998,0.908
0.2,1233.019,129.923,12.469,6.861,23.127,0.045,1.051,0.918
0.2,1022.301,120.047,11.15,6.479,22.635,0.049,1.0,0.891
0.2,1116.564,126.941,12.6,6.088,23.753,0.043,0.955,0.871
0.2,1118.652,122.956,10.932,6.764,23.222,0.046,1.1,0.93
0.2,949.05,116.39,10.534,5.84,22.44,0.061,1.104,0.88
0.2,1249.975,131.136,12.393,6.672,23.555,0.044,0.923,0.913
0.2,1286.066,132.256,12.205,7.215,23.506,0.033,1.006,0.924
0.2,1197.437,127.821,12.086,6.391,23.173,0.046,0.966,0.921
0.2,1108.644,122.947,11.496,6.122,22.091,0.059,1.003,0.922
0.2,1062.733,121.114,10.603,6.576,23.316,0.056,1.228,0.91
0.2,1201.581,126.517,12.275,6.518,22.449,0.047,0.998,0.943
0.2,1034.447,120.131,11.07,6.067,22.076,0.055,0.998,0.901
0.2,1148.759,126.837,11.441,6.227,22.358,0.042,1.103,0.897
0.2,1257.908,130.834,11.865,5.907,23.856,0.043,1.047,0.923
0.2,1154.154,127.684,14.461,5.784,22.768,0.039,1.09,0.89
0.2,1300.104,131.634,13.469,6.5,24.004,0.043,0.961,0.943
0.2,1156.325,124.746,10.749,6.814,24.018,0.052,1.2,0.934
0.2,1282.162,131.702,11.923,6.416,24.139,0.048,1.0,0.929
0.2,1175.426,127.117,12.291,6.196,22.32,0.047,0.959,0.914
0.2,1062.781,121.583,10.538,5.992,23.001,0.049,0.823,0.903
0.2,1346.073,133.52,11.864,6.361,24.893,0.053,1.047,0.949
0.2,1150.97,125.578,12.18,6.194,22.798,0.052,0.954,0.917
0.2,1006.262,119.65,10.894,6.138,23.006,0.066,1.161,0.883
0.2,1088.25,122.992,12.831,5.784,22.254,0.062,0.995,0.904
0.2,987.288,118.773,10.266,6.276,23.907,0.056,0.952,0.879
0.2,1218.244,127.752,11.027,6.915,21.891,0.06,1.002,0.938
0.2,1231.061,128.367,11.147,6.194,23.19,0.053,1.045,0.939
0.2,1090.957,123.679,10.737,5.958,24.184,0.044,1.21,0.896
0.2,1083.044,124.325,12.208,6.19,22.25,0.047,1.149,0.881
0.2,1224.367,128.912,11.911,6.468,23.287,0.051,0.922,0.926
0.2,1091.135,125.527,10.567,5.908,23.606,0.049,1.133,0.87
0.2,1011.463,119.399,10.703,5.997,23.17,0.057,1.004,0.892
0.2,1062.821,119.106,12.55,5.724,21.801,0.057,1.051,0.941
0.2,1117.032,124.521,10.852,6.486,21.939,0.052,1.052,0.905
0.6,1021.199,120.373,11.51,6.228,22.452,0.056,1.151,0.886
0.6,1076.383,122.375,10.767,6.222,22.333,0.067,0.903,0.903
0.6,971.162,120.677,11.664,5.213,24.191,0.058,0.963,0.838
0.6,1300.208,131.538,12.229,6.141,24.606,0.05,0.998,0.944
0.6,1244.579,128.633,12.59,6.205,22.327,0.046,1.001,0.945
0.6,1096.303,124.281,10.036,6.287,23.42,0.053,0.822,0.892
0.6,1069.732,122.984,11.555,6.732,22.834,0.042,1.095,0.889
0.6,1099.064,125.145,12.099,6.497,24.222,0.033,0.908,0.882
0.6,1227.434,128.372,11.732,7.136,23.158,0.049,0.953,0.936
0.6,978.316,117.447,10.701,6.168,23.376,0.063,0.954,0.891
0.6,1255.186,129.835,13.097,6.528,25.708,0.041,0.917,0.936
0.6,1011.208,119.944,11.131,5.8,21.823,0.056,0.917,0.883
0.6,1131.961,126.297,11.574,6.983,23.111,0.053,1.041,0.892
0.6,1194.342,126.279,12.292,6.535,22.111,0.054,1.056,0.941
0.6,1304.06,131.633,13.065,6.384,22.917,0.045,1.032,0.946
0.6,1152.331,125.433,10.83,6.524,22.597,0.052,0.908,0.92
0.6,1002.74,117.986,11.858,6.138,21.328,0.049,0.921,0.905
0.6,1200.554,127.429,11.804,5.942,24.264,0.057,1.05,0.929
0.6,1108.831,125.791,12.263,5.972,22.733,0.045,1.0,0.881
0.6,1256.217,129.089,12.063,6.951,23.21,0.047,1.051,0.947
0.6,1030.626,119.28,11.606,6.256,22.129,0.048,1.266,0.91
0.6,1086.822,121.664,11.526,6.026,21.887,0.047,0.956,0.923
0.6,1153.999,123.391,11.789,6.238,21.338,0.063,1.096,0.952
0.6,959.648,120.581,10.536,6.113,23.899,0.049,1.001,0.829
