true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter
1.7,1.486,1.416,0.303,6.136,8.992
1.7,1.511,1.341,0.461,5.815,8.809
1.7,1.461,1.382,0.324,5.973,8.87
1.7,1.483,1.391,0.347,5.667,8.807
1.7,1.433,1.391,0.241,5.933,8.878
1.7,1.485,1.436,0.254,6.029,8.956
1.7,1.462,1.437,0.186,6.023,8.94
1.7,1.493,1.273,0.523,5.262,8.498
1.7,1.451,1.369,0.331,5.804,8.733
1.8,1.482,1.458,0.177,5.954,8.972
1.8,1.525,1.375,0.432,6.142,9.035
1.8,1.477,1.425,0.263,6.173,9.018
1.8,1.439,1.301,0.426,5.379,8.501
1.8,1.552,1.259,0.585,5.577,8.672
1.8,1.484,1.335,0.437,5.753,8.777
1.8,1.452,1.429,0.176,5.921,8.867
1.8,1.463,1.408,0.27,6.004,8.933
1.8,1.485,1.399,0.335,5.873,8.831
1.8,1.544,1.416,0.4,5.72,8.865
1.9,1.479,1.396,0.33,5.789,8.814
1.9,1.47,1.375,0.353,5.715,8.77
1.9,1.449,1.323,0.409,5.477,8.543
1.9,1.456,1.439,0.151,5.683,8.778
1.9,1.444,1.378,0.299,5.32,8.521
1.9,1.457,1.369,0.343,5.577,8.726
1.9,1.449,1.418,0.206,5.978,8.851
1.9,1.484,1.37,0.384,5.908,8.841
1.9,1.432,1.39,0.242,5.572,8.678
1.9,1.456,1.408,0.255,5.632,8.776
2.0,1.542,1.223,0.609,5.322,8.481
2.0,1.438,1.367,0.31,5.728,8.723
2.0,1.459,1.402,0.276,5.779,8.775
2.0,1.555,1.356,0.49,5.914,8.895
2.0,1.495,1.325,0.463,5.509,8.591
2.0,1.487,1.416,0.306,6.184,9.016
2.0,1.447,1.402,0.246,5.443,8.677
2.0,1.509,1.401,0.371,6.177,9.014
2.0,1.475,1.413,0.286,6.062,8.95
2.0,1.371,1.308,0.301,4.929,8.293
2.1,1.456,1.385,0.309,5.719,8.756
