true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,eccentricity_ratio,aspect_ratio,theta
0.3,1.263,1.149,0.416,4.122,7.484,1.1,0.907,-0.206
0.3,1.336,1.232,0.387,4.868,7.991,1.085,0.95,0.586
0.3,1.263,1.119,0.464,4.075,7.391,1.129,0.99,1.058
0.3,1.354,1.13,0.551,4.378,7.675,1.198,0.82,0.209
0.3,1.323,1.287,0.229,4.93,8.064,0.973,1.015,-0.548
0.3,1.335,1.274,0.301,4.66,7.923,1.049,0.962,0.349
0.3,1.305,1.193,0.404,4.389,7.713,1.093,1.005,2.834
0.3,1.241,1.165,0.345,4.053,7.419,0.938,0.997,-2.918
0.3,1.233,1.14,0.381,4.024,7.322,0.925,0.983,-2.506
0.3,1.266,1.124,0.46,4.072,7.39,1.126,0.866,0.115
0.3,1.226,1.099,0.444,3.768,7.253,1.116,0.901,-0.426
0.3,1.277,1.17,0.401,4.216,7.527,1.092,0.951,0.426
0.3,1.32,1.169,0.464,4.46,7.697,1.129,0.897,-0.005
0.3,1.244,1.114,0.446,3.756,7.175,0.895,0.978,-0.779
0.3,1.31,1.255,0.289,4.731,7.929,1.045,0.939,-0.382
0.3,1.262,1.176,0.362,4.197,7.492,1.073,0.999,-3.238
0.3,1.306,1.22,0.359,4.664,7.862,1.071,0.988,-3.669
0.3,1.304,1.218,0.359,4.364,7.728,0.933,1.043,-0.958
0.3,1.32,1.113,0.538,3.703,7.32,1.186,0.88,-0.381
0.4,1.246,1.179,0.324,4.193,7.501,1.057,0.975,-0.03
0.4,1.35,1.237,0.399,4.616,7.872,1.091,0.951,-0.376
0.4,1.236,1.198,0.245,4.425,7.642,0.969,0.993,-0.837
0.4,1.321,1.139,0.506,4.176,7.558,0.862,1.061,0.639
0.4,1.297,1.232,0.313,4.432,7.776,0.95,1.048,-0.184
0.4,1.294,1.172,0.425,4.354,7.634,0.905,1.044,0.499
0.4,1.32,1.224,0.374,4.395,7.783,0.927,1.067,0.163
0.4,1.309,1.264,0.258,4.783,7.97,1.035,0.987,1.187
0.4,1.315,1.191,0.424,4.305,7.709,0.906,1.203,-0.112
0.4,1.266,1.247,0.175,4.269,7.629,1.016,0.852,-0.438
0.4,1.333,1.191,0.45,4.567,7.787,1.12,0.941,0.147
0.4,1.311,1.132,0.505,4.185,7.485,1.158,1.029,-2.255
0.4,1.25,1.235,0.154,4.165,7.575,1.012,0.956,-1.788
0.4,1.377,1.206,0.482,4.599,7.886,0.876,0.972,2.342
0.4,1.202,1.087,0.428,3.431,6.958,0.904,1.148,-0.638
0.4,1.288,1.155,0.443,4.264,7.58,0.897,1.005,3.965
0.4,1.308,1.102,0.538,4.135,7.45,1.186,0.896,-0.224
0.4,1.343,1.29,0.277,4.564,7.929,1.041,1.066,0.294
0.4,1.379,1.11,0.593,4.081,7.509,1.242,0.87,0.283
0.4,1.308,1.266,0.251,4.415,7.753,1.033,0.975,0.291
0.4,1.296,1.123,0.5,3.917,7.299,0.866,1.05,-0.568
0.4,1.249,1.156,0.38,3.724,7.334,1.081,0.917,-0.469
0.4,1.275,1.09,0.519,3.79,7.209,0.855,1.08,-0.57
0.4,1.24,1.236,0.079,4.196,7.599,0.997,1.128,-0.187
0.4,1.319,1.239,0.345,4.528,7.887,1.065,1.01,5.955
0.4,1.326,1.2,0.426,4.702,7.883,1.105,0.873,0.016
0.4,1.351,1.167,0.504,4.157,7.582,1.158,1.006,-2.765
0.4,1.236,1.168,0.328,4.142,7.427,1.059,0.973,0.819
