true_angle,mean_x,mean_y,std_x,std_y,skew_x,skew_y,kurt_x,kurt_y,mean_distance,max_distance,hull_area,hull_perimeter
0.8,3.453,0.002,0.515,0.573,0.262,0.241,-0.117,-0.41,0.954,2.532,4.16,6.64
0.8,3.511,-0.039,0.585,0.495,-0.09,-0.424,-0.426,-0.175,0.952,2.69,4.472,6.49
0.8,3.475,0.012,0.538,0.529,-0.231,-0.223,-0.134,0.227,0.931,2.591,4.109,7.086
0.8,3.392,-0.043,0.555,0.526,-0.073,-0.169,-0.27,-0.164,0.947,2.599,4.209,7.417
0.8,3.485,0.106,0.633,0.562,-0.166,0.107,-0.637,-0.552,1.057,2.631,4.694,7.231
0.8,3.478,0.029,0.505,0.601,-0.108,0.192,-0.041,-0.457,0.973,2.546,4.312,6.511
0.8,3.482,0.023,0.57,0.517,-0.23,-0.007,-0.574,-0.222,0.956,2.522,4.145,6.19
0.9,3.419,-0.03,0.52,0.577,0.148,0.089,-0.384,-0.718,0.961,2.644,4.136,7.267
0.9,3.434,0.016,0.566,0.581,-0.024,0.047,-0.383,-0.592,1.011,2.635,4.635,7.481
0.9,3.338,-0.078,0.536,0.537,-0.126,-0.033,-0.149,-0.197,0.938,2.599,4.547,7.473
0.9,3.385,-0.129,0.513,0.503,-0.157,0.354,0.068,0.162,0.882,2.489,3.864,7.006
0.9,3.289,0.028,0.526,0.515,-0.132,-0.162,-0.425,0.216,0.909,2.552,4.152,6.529
0.9,3.451,0.027,0.617,0.567,-0.039,-0.136,-0.308,-0.496,1.042,2.685,4.616,7.229
0.9,3.484,0.009,0.526,0.53,-0.007,-0.283,0.004,0.193,0.917,2.628,4.64,6.666
0.9,3.477,0.065,0.547,0.552,0.044,0.048,-0.222,-0.163,0.962,2.584,4.591,7.275
0.9,3.468,0.002,0.579,0.519,0.057,0.038,-0.572,0.049,0.966,2.592,4.317,7.233
0.9,3.377,-0.077,0.538,0.571,0.195,-0.097,-0.218,0.013,0.965,2.581,4.461,6.835
1.0,3.304,0.023,0.608,0.466,0.051,-0.462,-0.504,0.567,0.944,2.578,4.53,6.326
1.0,3.495,0.041,0.53,0.609,0.018,0.146,0.025,-0.438,0.999,2.651,4.648,6.923
1.0,3.397,0.02,0.537,0.613,-0.027,0.134,-0.59,-0.61,1.014,2.631,4.261,7.011
1.0,3.525,0.037,0.574,0.471,-0.035,-0.385,-0.225,0.475,0.913,2.667,4.088,7.401
1.0,3.53,-0.042,0.546,0.44,-0.032,0.102,-0.495,-0.287,0.868,2.465,3.255,6.311
1.0,3.491,-0.129,0.508,0.539,-0.347,0.064,0.361,-0.212,0.909,2.465,3.92,7.106
1.0,3.349,0.068,0.594,0.57,-0.128,0.229,-0.473,-0.678,1.022,2.512,4.144,6.662
1.0,3.421,-0.137,0.591,0.589,-0.151,0.241,-0.724,-0.35,1.029,2.701,4.62,7.357
1.0,3.4,0.153,0.592,0.476,0.041,-0.14,-0.477,0.082,0.941,2.579,4.04,6.391
1.0,3.469,-0.048,0.504,0.498,0.206,0.062,0.231,-0.011,0.871,2.519,4.262,6.863
1.1,3.406,0.025,0.564,0.534,-0.205,0.132,-0.672,-0.289,0.971,2.537,4.044,6.966
1.1,3.393,-0.066,0.596,0.643,0.043,-0.076,-0.393,-0.693,1.093,2.693,4.48,7.051
1.1,3.407,0.063,0.585,0.537,0.202,0.204,-0.646,-0.26,0.991,2.548,4.397,7.01
1.1,3.266,-0.082,0.551,0.539,0.322,0.165,-0.183,-0.242,0.96,2.598,3.992,6.836
1.1,3.46,0.025,0.558,0.545,0.166,-0.076,-0.174,0.123,0.964,2.623,4.701,7.262
1.1,3.415,0.063,0.507,0.59,0.042,-0.204,0.451,-0.382,0.958,2.623,4.716,7.295
1.1,3.465,-0.041,0.613,0.477,-0.189,0.028,-0.58,-0.226,0.962,2.62,4.131,6.476
1.1,3.532,-0.033,0.541,0.547,0.002,0.11,-0.333,-0.525,0.958,2.615,3.947,6.617
