true_angle,mean_x,mean_y,std_x,std_y,skew_x,skew_y,kurt_x,kurt_y,mean_distance,max_distance,hull_area,hull_perimeter
1.1,-3.539,-0.075,0.63,0.55,0.11,-0.45,-0.713,-0.155,1.047,2.66,4.647,7.303
1.1,-3.389,0.013,0.554,0.606,-0.164,-0.013,-0.485,-0.546,1.029,2.52,4.111,6.023
1.1,-3.349,-0.019,0.472,0.525,0.536,-0.17,0.173,-0.585,0.865,2.437,3.24,5.801
1.1,-3.466,0.002,0.484,0.551,-0.06,0.238,-0.318,-0.271,0.905,2.613,3.833,6.446
1.1,-3.319,-0.006,0.652,0.516,0.016,0.008,-0.563,0.196,1.031,2.7,4.866,7.482
1.1,-3.41,0.077,0.588,0.515,0.351,0.229,-0.194,-0.191,0.959,2.576,3.919,6.702
1.1,-3.288,0.022,0.614,0.559,-0.324,0.357,-0.551,-0.437,1.037,2.587,4.529,7.397
1.1,-3.45,0.016,0.587,0.575,-0.078,-0.028,-0.357,-0.292,1.024,2.614,4.556,7.335
1.1,-3.464,-0.046,0.566,0.591,-0.059,0.031,-0.442,-0.734,1.024,2.678,4.396,7.057
1.1,-3.404,-0.038,0.562,0.619,0.211,0.069,-0.23,-0.59,1.045,2.612,4.14,6.94
1.2,-3.398,0.11,0.562,0.633,-0.067,-0.001,-0.384,-0.76,1.063,2.541,4.377,6.997
1.2,-3.488,0.049,0.495,0.527,-0.053,-0.072,0.15,0.017,0.884,2.597,4.411,6.396
1.2,-3.382,0.041,0.574,0.596,0.237,-0.044,-0.297,-0.499,1.024,2.652,4.638,6.973
1.2,-3.378,-0.013,0.494,0.486,0.244,0.002,-0.146,0.353,0.856,2.516,3.701,6.491
1.2,-3.382,0.01,0.55,0.528,0.077,-0.189,-0.112,0.12,0.946,2.636,4.51,6.698
1.2,-3.442,-0.128,0.619,0.605,0.247,0.092,-0.613,-0.675,1.087,2.675,4.636,7.007
1.2,-3.47,0.081,0.603,0.536,0.085,0.233,-0.416,-0.81,1.006,2.577,3.951,7.31
1.2,-3.436,0.099,0.619,0.523,-0.077,0.084,-0.703,-0.697,1.016,2.564,3.911,6.068
1.2,-3.359,-0.046,0.516,0.536,0.485,0.032,-0.11,0.188,0.918,2.588,4.171,7.339
1.2,-3.505,0.024,0.516,0.534,0.152,0.119,-0.092,-0.063,0.915,2.689,4.352,6.91
1.3,-3.456,0.024,0.483,0.567,-0.063,-0.084,-0.204,-0.524,0.922,2.518,4.012,6.103
1.3,-3.298,0.014,0.545,0.522,-0.215,-0.123,-0.154,-0.132,0.933,2.615,4.145,6.03
1.3,-3.368,0.016,0.501,0.589,0.209,-0.235,-0.215,-0.327,0.95,2.655,4.302,6.79
1.3,-3.463,-0.047,0.599,0.511,0.153,0.3,-0.459,-0.151,0.979,2.652,4.378,6.67
1.3,-3.424,0.043,0.628,0.557,0.01,-0.071,-0.753,-0.486,1.044,2.576,4.357,7.348
1.3,-3.377,0.061,0.541,0.633,-0.056,0.284,-0.057,-0.731,1.036,2.639,4.589,7.758
1.3,-3.406,0.059,0.544,0.496,-0.004,-0.227,-0.296,-0.095,0.9,2.652,4.321,7.181
1.3,-3.436,0.015,0.564,0.602,0.185,0.066,-0.293,-0.627,1.025,2.649,4.831,7.283
1.3,-3.411,-0.003,0.612,0.561,0.136,-0.135,-0.395,-0.519,1.034,2.666,4.674,7.586
1.3,-3.471,0.03,0.554,0.519,0.376,-0.097,0.271,0.092,0.933,2.487,4.205,6.389
1.4,-3.45,0.032,0.587,0.509,0.104,-0.186,-0.234,-0.163,0.964,2.612,4.545,6.686
1.4,-3.455,-0.022,0.545,0.559,-0.283,0.186,-0.124,-0.1,0.965,2.622,4.576,6.906
1.4,-3.356,-0.013,0.508,0.596,-0.095,0.001,0.05,-1.009,0.975,2.657,4.174,6.625
1.4,-3.504,-0.086,0.443,0.554,-0.817,0.038,-0.033,-0.536,0.869,2.432,3.35,6.335
1.4,-3.423,-0.101,0.543,0.532,0.286,-0.141,-0.46,-0.553,0.947,2.578,3.967,6.862
1.4,-3.388,-0.099,0.591,0.554,0.114,0.288,-0.462,-0.273,1.009,2.591,4.647,7.371
1.4,-3.398,0.068,0.541,0.535,-0.202,-0.015,-0.195,-0.327,0.94,2.612,4.358,7.174
1.4,-3.37,0.122,0.544,0.578,0.307,-0.114,0.211,-0.677,0.986,2.597,4.351,6.628
1.4,-3.285,0.03,0.53,0.565,-0.466,0.129,0.388,-0.352,0.96,2.72,4.669,7.383
1.4,-3.381,-0.107,0.558,0.514,-0.018,0.127,-0.149,-0.225,0.942,2.476,4.158,6.738
1.5,-3.485,-0.016,0.574,0.554,0.153,0.127,-0.493,-0.464,0.997,2.556,4.179,7.094
1.5,-3.523,0.042,0.564,0.558,-0.119,-0.133,-0.705,-0.445,0.992,2.558,4.123,7.33
1.5,-3.444,-0.054,0.549,0.507,0.011,0.016,-0.395,0.181,0.93,2.479,3.835,6.33
1.5,-3.336,-0.093,0.602,0.57,0.204,0.001,-0.515,-0.429,1.031,2.629,4.821,7.66
1.5,-3.383,0.033,0.463,0.529,0.137,-0.205,0.002,-0.194,0.861,2.577,3.892,5.847
1.5,-3.4,0.071,0.636,0.524,0.167,0.217,-0.527,0.079,1.02,2.574,4.328,6.373
1.5,-3.396,-0.033,0.575,0.624,-0.138,0.121,-0.512,-0.751,1.062,2.588,4.367,6.712
1.5,-3.341,0.049,0.468,0.474,0.064,0.004,0.266,-0.416,0.82,2.489,3.462,6.835
1.5,-3.427,-0.002,0.536,0.578,-0.003,-0.202,0.323,-0.186,0.976,2.669,4.657,7.342
1.5,-3.329,0.118,0.597,0.46,0.032,-0.151,-0.353,0.194,0.926,2.605,4.223,6.424
1.6,-3.419,0.024,0.532,0.591,0.09,0.003,-0.36,-0.39,0.986,2.653,4.671,7.34
1.6,-3.283,-0.028,0.543,0.572,0.129,0.109,0.081,-0.202,0.974,2.629,4.499,6.987
1.6,-3.336,0.08,0.528,0.593,-0.15,-0.206,0.055,-0.465,0.984,2.655,4.458,6.566
1.6,-3.329,0.071,0.564,0.585,0.079,-0.181,-0.774,-0.676,1.017,2.554,4.134,6.907
1.6,-3.343,0.043,0.587,0.478,0.069,0.503,-0.291,0.262,0.938,2.636,3.854,6.479
